Location,Region,District,Street,Price,Price_sqm,Views,Area,Rooms,Floors,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Error,Floor,Storeys,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Center, M.Khorenatsi St",Yerevan, Center, M.Khorenatsi St,70000,452,7843.0,155,5,1,1,Other,3.2,Good,29.04.2018,14.01.2020,08.05.2022,40.16513437,44.51497703,"80/1, Մովսես Խորենացու փողոց, Կենտրոն, Երևան, 0018, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Eurowindows,Storageroom,Attic,Basement,Tile,Laminateflooring,Closetothebusstation,Gate",https://myrealty.am/en/house-for-sale/M.Khorenatsi+St/Center/Yerevan/56468,0,0,,,for sale,house,myrealty.am,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Yerevan, Qanaqer-Zeytun, Kamarak St",Yerevan, Qanaqer-Zeytun, Kamarak St,580000,1234,6450.0,470,4,3,2,Stone,2.8,Newly repaired,25.04.2018,27.08.2021,08.05.2022,40.2051487,44.5405726,"32, Մինաս Ավետիսյան 1 փողոց, Քանաքեռ-Զեյթուն, Երևան, 0069, Հայաստան","Hotwater,Gas,Heating","Laminateflooring,Tile,Storageroom,Basement",https://myrealty.am/en/house-for-sale/Kamarak+St/Qanaqer-Zeytun/Yerevan/56317,0,0,,,for sale,house,myrealty.am,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Yerevan, Shengavit, Nizami St",Yerevan, Shengavit, Nizami St,74000,260,6369.0,285,3,1,1,Monolit,2.8,Newly repaired,20.04.2018,21.10.2021,08.05.2022,40.1543738,44.4873277,"13, Նիզամու փողոց, Վերին Շենգավիթ, Շենգավիթ, Երևան, 0006, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Garage,Sunny,Eurowindows,Basement",https://myrealty.am/en/house-for-sale/Nizami+St/Shengavit/Yerevan/56208,0,0,,,for sale,house,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Yerevan, Nor Norq, Bagrevand district",Yerevan, Nor Norq, Bagrevand district,277000,231,8513.0,1200,7,3,4,Stone,3.8,Zero condition,14.04.2018,22.04.2021,08.05.2022,40.1994977,44.5837371,"98, Բագրևանդի փողոց, Բագրևանդ, Նոր Նորքի 2-րդ զանգված, Նոր Նորք, Երևան, 0067, Հայաստան","Sewerage,Canalization,Electricity,Gas,Water","Grating,Irondoor,Openbalcony,Attic,Basement,Sunny,Bilateral,Roadside,Closetothebusstation,Parking,Garage,Park,Fence,Highfirstfloor",https://myrealty.am/en/house-for-sale/Bagrevand+district/Nor+Norq/Yerevan/55969,0,0,,,for sale,house,myrealty.am,0,1,0,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0
"Ararat, Masis, Masisavan",Ararat, Masis, Masisavan,30000,20,6016.0,1500,4,2,1,Stone,3.0,Zero condition,12.04.2018,12.04.2018,08.05.2022,40.0634518,44.4410909,"44, Արարատյան փողոց, Մասիս, Մասիսի տարածաշրջան, Արարատի մարզ, 0801, Հայաստան","Heating,Irrigation,Sewerage,Canalization,Electricity,Water,water24/7","Grating,Basement,Parking,Garage,Highfirstfloor",https://myrealty.am/en/house-for-sale/Masisavan/Masis/Ararat/55875,0,0,,,for sale,house,myrealty.am,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Yerevan, Malatia-Sebastia, Haghtanak vill 11 St",Yerevan, Malatia-Sebastia, Haghtanak vill 11 St,67000,122,6407.0,550,6,2,2,Stone,3.2,Good,09.04.2018,15.07.2021,08.05.2022,40.1869172,44.4246508,"Детский сад № 80 имени Ашота Хачатряна, 34, Հաղթանակ 6-րդ փողոց, Հաղթանակ, Մալաթիա-Սեբաստիա, Երևան, 0081, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Eurowindows,Irondoor,Openbalcony,Balcony,Storageroom,Attic,Basement,Sunny,View,Roadside,Closetothebusstation,Gate,Fence,Highfirstfloor",https://myrealty.am/en/house-for-sale/Haghtanak+vill+11+St/Malatia-Sebastia/Yerevan/55768,0,0,,,for sale,house,myrealty.am,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1
"Yerevan, Arabkir, Griboedov St",Yerevan, Arabkir, Griboedov St,153000,1530,7220.0,100,5,2,2,Stone,2.8,Newly repaired,07.04.2018,08.04.2021,08.05.2022,40.2090405,44.5137852,"15, Գրիբոյեդով փողոց, Արաբկիր, Երևան, 0051, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Gas,Water,water24/7","Eurowindows,Roadside,Closetothebusstation,Gate",https://myrealty.am/en/house-for-sale/Griboedov+St/Arabkir/Yerevan/55614,0,0,,,for sale,house,bars.am,0,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Yerevan, Center, Aygestan 10 St",Yerevan, Center, Aygestan 10 St,90000,2250,4677.0,40,4,2,1,Stone,3.0,Good,25.03.2018,15.02.2021,08.05.2022,40.1793559,44.5291024,"42, Այգեստանի 10րդ փողոց, Կենտրոն, Երևան, 0025, Հայաստան","Hotwater,Irrigation,Sewerage,Canalization,Gas,Water,water24/7","Irondoor,Openbalcony,Balcony,Bilateral,Fence",https://myrealty.am/en/house-for-sale/Aygestan+10+St/Center/Yerevan/82310,0,1,,,for sale,house,myrealty.am,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Arabkir, Tavrizyan St",Yerevan, Arabkir, Tavrizyan St,410000,2050,3514.0,200,4,2,2,Stone,3.2,Newly repaired,21.03.2018,12.07.2021,08.05.2022,40.2059609,44.4938053,"17, Թավրիզյան փողոց, Արաբկիր, Երևան, 0012, Հայաստան","Heating,Internet,Hotwater,Irrigation,Sewerage,Canalization,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Fireplace,Openbalcony,Tile,Parquet,Sunny,Bilateral,Parking,Gate,Fence",https://myrealty.am/en/house-for-sale/Tavrizyan+St/Arabkir/Yerevan/93756,0,0,,,for sale,house,bars.am,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0
"Yerevan, Nor Norq, S. Safaryan St",Yerevan, Nor Norq, S. Safaryan St,230000,271,6793.0,850,7,2,3,Stone,3.0,Newly repaired,09.03.2018,12.07.2021,08.05.2022,40.1966645,44.5640398,"7, Սաֆարյան փողոց, Նոր Նորք, Երևան, 0056, Հայաստան","Heating,Gas,Hotwater,Electricity,water24/7,Water","Furniture,Equipment,Openbalcony,Gate,Fence",https://myrealty.am/en/house-for-sale/S.+Safaryan+St/Nor+Norq/Yerevan/54180,0,0,,,for sale,house,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
