Location,Region,District,Street,Price,Price_sqm,Views,Area,Rooms,Floor,Storeys,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Error,Listing_type,Property_type,Floors,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Shengavit, Shevchenko St",Yerevan, Shengavit, Shevchenko St,57000,1267,828.0,45.0,2,2,5,1,Stone,2.8,Good,24.07.2021,11.10.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Sewerage,Canalization,Water,water24/7,Electricity,Hotwater,Gas,Heating","Irondoor,Laminateflooring,Tile,Eurowindows,Openbalcony,Furniture",https://myrealty.am/en/2-bedroom/apartment-for-sale/Shevchenko+St/Shengavit/Yerevan/112849,0,0,for sale,apartment,,bars.am,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Nalbandyan St",Yerevan, Center, Nalbandyan St,170000,4722,960.0,36.0,2,5,5,1,Stone,3.2,Newly repaired,24.07.2021,24.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Hotwater,Electricity,Gas,Water,water24/7","Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/2-bedroom/apartment-for-sale/Nalbandyan+St/Center/Yerevan/112847,0,0,for sale,apartment,,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, A. Khachatrian St",Yerevan, Arabkir, A. Khachatrian St,125000,2273,993.0,55.0,2,5,5,1,Stone,2.8,Newly repaired,24.07.2021,24.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Eurowindows,Irondoor,Openbalcony,Tile,Parquet,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/2-bedroom/apartment-for-sale/A.+Khachatrian+St/Arabkir/Yerevan/112846,0,0,for sale,apartment,,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, A. Khachatrian St",Yerevan, Arabkir, A. Khachatrian St,125000,2273,884.0,55.0,2,4,5,1,Stone,2.8,Newly repaired,24.07.2021,24.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/2-bedroom/apartment-for-sale/A.+Khachatrian+St/Arabkir/Yerevan/112845,0,0,for sale,apartment,,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, Hr.Kochar St",Yerevan, Arabkir, Hr.Kochar St,170000,2394,955.0,71.0,3,5,5,1,Stone,2.8,Newly repaired,24.07.2021,24.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Eurowindows,Irondoor,Tile,Laminateflooring,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/3-bedroom/apartment-for-sale/Hr.Kochar+St/Arabkir/Yerevan/112844,0,0,for sale,apartment,,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,1
"Yerevan, Center, Nalbandyan St",Yerevan, Center, Nalbandyan St,170000,4722,843.0,36.0,2,5,5,1,Stone,3.0,Newly repaired,24.07.2021,16.08.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Sunny,View,Closetothebusstation",https://myrealty.am/en/2-bedroom/apartment-for-sale/Nalbandyan+St/Center/Yerevan/112843,0,0,for sale,apartment,,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, Azatutyan Ave",Yerevan, Arabkir, Azatutyan Ave,350000,3211,818.0,109.0,3,5,5,2,Stone,3.0,Newly repaired,24.07.2021,24.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Eurowindows,Irondoor,Tile,Parquet,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/3-bedroom/apartment-for-sale/Azatutyan+Ave/Arabkir/Yerevan/112842,0,0,for sale,apartment,,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
"Yerevan, Center, Nalbandyan St",Yerevan, Center, Nalbandyan St,600000,4167,1070.0,144.0,3,5,5,3,Stone,3.2,Newly repaired,24.07.2021,29.08.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/3-bedroom/apartment-for-sale/Nalbandyan+St/Center/Yerevan/112841,0,0,for sale,apartment,,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, Hr.Kochar St",Yerevan, Arabkir, Hr.Kochar St,170000,2394,849.0,71.0,3,5,5,1,Stone,2.8,Newly repaired,24.07.2021,16.08.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Closetothebusstation",https://myrealty.am/en/3-bedroom/apartment-for-sale/Hr.Kochar+St/Arabkir/Yerevan/112840,0,0,for sale,apartment,,bars.am,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Center, D. Demirchyan St",Yerevan, Center, D. Demirchyan St,140000,2090,898.0,67.0,2,5,5,1,Stone,3.0,Newly repaired,24.07.2021,24.07.2021,08.05.2022,40.183333,44.516667,"32, Թումանյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Eurowindows,Irondoor,Tile,Parquet,Sunny,View,Closetothebusstation,Playground,Park",https://myrealty.am/en/2-bedroom/apartment-for-sale/D.+Demirchyan+St/Center/Yerevan/112839,0,0,for sale,apartment,,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1
