Location,Region,District,Street,Price,Views,Area,Rooms,Floor,Storeys,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Price_sqm,Error,Floors,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Center, Buzand St",Yerevan, Center, Buzand St,1000.0,4077.0,57,2,8,15,1,Monolit,3.2,Newly repaired,20.09.2019,31.05.2020,08.05.2022,40.1807313,44.5106515,"13, Բյուզանդի փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Loggia,Openbalcony,Tile,Laminateflooring,Heatedfloor,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Park,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-rent/Buzand+St/Center/Yerevan/85049,0,,0,,for rent,apartment,myrealty.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,1
"Yerevan, Center, Pushkin St",Yerevan, Center, Pushkin St,1300.0,2085.0,120,4,5,11,1,Monolit,2.8,Good,19.09.2019,08.08.2020,08.05.2022,40.182874,44.5121459,"31, Պուշկինի փողոց, Կենտրոն, Երևան, 0002, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment",https://myrealty.am/en/4-bedroom/apartment-for-rent/Pushkin+St/Center/Yerevan/101218,0,,0,,for rent,apartment,bars.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Center, Amiryan St",Yerevan, Center, Amiryan St,3500.0,3134.0,360,3,10,10,5,Monolit,2.8,Good,19.09.2019,17.12.2019,08.05.2022,40.17994988,44.50887771,"11, Ամիրյան փողոց, Կենտրոն, Երևան, 0002, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Loggia,Openbalcony,Balcony,Basement,Tile,Laminateflooring,Parquet,Heatedfloor,Securitysystem,Sunny,View,Roadside,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent/Amiryan+St/Center/Yerevan/84970,0,,0,,for rent,apartment,bars.am,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1
"Yerevan, Center, M.Khorenatsi St",Yerevan, Center, M.Khorenatsi St,1000.0,2804.0,110,3,4,6,2,Monolit,3.0,Newly repaired,19.09.2019,16.12.2019,08.05.2022,40.1787683,44.5062262,"2, Խորենացու փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Sunny,View,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/M.Khorenatsi+St/Center/Yerevan/84967,0,,0,,for rent,apartment,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1
"Yerevan, Arabkir, Mamikoniants St",Yerevan, Arabkir, Mamikoniants St,500.0,2622.0,78,2,3,3,1,Stone,2.8,Newly repaired,19.09.2019,16.12.2019,08.05.2022,40.209317,44.5172587,"Արաբկիր, Երևան, 0051, Հայաստան","Heating,Gas,Hotwater,Internet,Air-conditioner,Centralheating,Electricity,water24/7,Water","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Closetothebusstation",https://myrealty.am/en/2-bedroom/apartment-for-rent/Mamikoniants+St/Arabkir/Yerevan/84954,0,,0,,for rent,apartment,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Center, Nalbandyan St",Yerevan, Center, Nalbandyan St,1500.0,2688.0,115,3,2,5,1,Stone,2.8,Newly repaired,18.09.2019,17.12.2019,08.05.2022,40.1815734,44.520049,"104, Նալբանդյան փողոց, Կենտրոն, Երևան, 0001, Հայաստան","Heating,Internet,Hotwater,Sewerage,Canalization,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Storageroom,Tile,Laminateflooring,Heatedfloor,Sunny,View,Roadside,Closetothebusstation,Playground,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent/Nalbandyan+St/Center/Yerevan/84916,0,,0,,for rent,apartment,bars.am,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1
"Yerevan, Center, Moskovyan St",Yerevan, Center, Moskovyan St,1300.0,6460.0,90,3,3,5,2,Other,2.8,Newly repaired,05.10.2015,16.07.2019,08.05.2022,40.1880349,44.5174169,"10, Մոսկովյան փողոց, Երևան, 0009, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Moskovyan+St/Center/Yerevan/10313,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Yerevan, Center, Zakyan St",Yerevan, Center, Zakyan St,450.0,6361.0,65,3,4,5,1,Stone,2.8,Good,05.10.2015,01.08.2019,08.05.2022,40.1773371,44.5074447,"6, Զաքյան փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Water,water24/7,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Zakyan+St/Center/Yerevan/10312,0,,0,,for rent,apartment,myrealty.am,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Moskovyan St",Yerevan, Center, Moskovyan St,1200.0,5931.0,72,3,3,5,1,Other,2.8,Newly repaired,05.10.2015,11.08.2020,08.05.2022,40.1880349,44.5174169,"10, Մոսկովյան փողոց, Երևան, 0009, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Moskovyan+St/Center/Yerevan/10308,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Yerevan, Center, Zakyan St",Yerevan, Center, Zakyan St,1000.0,6736.0,96,3,3,5,1,Stone,2.8,Good,05.10.2015,24.07.2019,08.05.2022,40.1773371,44.5074447,"6, Զաքյան փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Water,water24/7,Air-conditioner,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Zakyan+St/Center/Yerevan/10306,0,,0,,for rent,apartment,bars.am,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Moskovyan St",Yerevan, Center, Moskovyan St,1000.0,6608.0,80,3,2,6,1,Other,2.8,Good,05.10.2015,07.08.2020,08.05.2022,40.1880349,44.5174169,"10, Մոսկովյան փողոց, Երևան, 0009, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Laminateflooring,Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Moskovyan+St/Center/Yerevan/10303,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Zakyan St",Yerevan, Center, Zakyan St,1200.0,6051.0,150,3,4,5,1,Stone,2.8,Good,05.10.2015,11.08.2020,08.05.2022,40.1773371,44.5074447,"6, Զաքյան փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Water,water24/7,Air-conditioner,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Zakyan+St/Center/Yerevan/10301,0,,0,,for rent,apartment,bars.am,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Zakyan St",Yerevan, Center, Zakyan St,800.0,7251.0,80,3,4,5,1,Stone,2.8,Good,05.10.2015,01.08.2020,08.05.2022,40.1773371,44.5074447,"6, Զաքյան փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Water,water24/7,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Zakyan+St/Center/Yerevan/10296,0,,0,,for rent,apartment,bars.am,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, M.Khorenatsi St",Yerevan, Center, M.Khorenatsi St,450.0,6763.0,80,1,8,9,1,Other,2.8,Good,05.10.2015,16.07.2019,08.05.2022,40.1700945,44.5132175,"32, Մովսես Խորենացու փողոց, Կենտրոն, Երևան, 0018, Հայաստան","Water,water24/7,Air-conditioner,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/1-bedroom/apartment-for-rent/M.Khorenatsi+St/Center/Yerevan/10292,0,,0,,for rent,apartment,myrealty.am,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Amiryan St",Yerevan, Center, Amiryan St,1400.0,7373.0,120,3,4,7,1,Other,2.8,Newly repaired,05.10.2015,01.08.2019,08.05.2022,40.1806224,44.5081781,"HAF-HAF, 13/45, Ամիրյան փողոց, Կենտրոն, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Laminateflooring,Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Amiryan+St/Center/Yerevan/10290,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,2000.0,8558.0,107,3,19,20,1,Other,2.8,Good,05.10.2015,13.08.2020,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Water,water24/7,Air-conditioner,Internet,Hotwater,Gas,Heating","Tile,Eurowindows,Elevator,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Vardanants+St/Center/Yerevan/10282,0,,0,,for rent,apartment,bars.am,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,800.0,4776.0,95,3,4,4,1,Other,2.8,Good,05.10.2015,13.07.2019,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Parquet,Tile,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10281,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,1300.0,6453.0,120,3,8,20,1,Other,2.8,Good,05.10.2015,11.08.2020,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Water,water24/7,Air-conditioner,Hotwater,Gas,Heating","Tile,Eurowindows,Elevator,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Vardanants+St/Center/Yerevan/10279,0,,0,,for rent,apartment,bars.am,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,900.0,6421.0,80,3,2,5,1,Stone,2.8,Good,05.10.2015,17.11.2020,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Water,water24/7,Air-conditioner,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Vardanants+St/Center/Yerevan/10275,0,,0,,for rent,apartment,bars.am,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,1500.0,6949.0,80,3,2,3,1,Stone,2.8,Good,05.10.2015,11.08.2020,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Water,water24/7,Air-conditioner,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Vardanants+St/Center/Yerevan/10274,0,,0,,for rent,apartment,bars.am,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,1000.0,5726.0,85,3,5,5,1,Other,2.8,Good,05.10.2015,22.07.2019,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Parquet,Tile,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10272,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,600.0,5828.0,85,3,2,9,1,Other,2.8,Good,05.10.2015,16.07.2019,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Water,water24/7,Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Vardanants+St/Center/Yerevan/10270,0,,0,,for rent,apartment,myrealty.am,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,800.0,6769.0,93,3,4,4,1,Other,2.8,Newly repaired,05.10.2015,01.08.2019,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas","Sunny,Tile,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10268,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,800.0,5450.0,82,3,2,4,1,Stone,2.8,Good,05.10.2015,01.08.2020,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Water,water24/7,Air-conditioner,Internet,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Vardanants+St/Center/Yerevan/10267,0,,0,,for rent,apartment,myrealty.am,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,1500.0,7286.0,110,3,6,8,1,Other,2.8,Good,05.10.2015,13.08.2020,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Laminateflooring,Tile,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10266,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,700.0,5282.0,110,3,3,4,1,Other,2.8,Newly repaired,05.10.2015,07.11.2019,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Parquet,Tile,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10263,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,1200.0,5684.0,95,3,2,5,1,Other,2.8,Newly repaired,05.10.2015,11.08.2020,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Tile,Eurowindows,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10260,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Center, M.Khorenatsi St",Yerevan, Center, M.Khorenatsi St,800.0,5710.0,105,3,4,7,1,Other,2.8,Good,05.10.2015,11.08.2020,08.05.2022,40.1700945,44.5132175,"32, Մովսես Խորենացու փողոց, Կենտրոն, Երևան, 0018, Հայաստան","Water,water24/7,Air-conditioner,Internet,Hotwater,Gas,Heating","Tile,Eurowindows,Elevator,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/M.Khorenatsi+St/Center/Yerevan/10254,0,,0,,for rent,apartment,myrealty.am,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,1000.0,5068.0,80,3,4,4,1,Other,2.8,Good,05.10.2015,09.08.2020,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10253,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,1600.0,6264.0,127,3,2,5,1,Other,2.8,Newly repaired,05.10.2015,22.07.2019,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Parquet,Laminateflooring,Tile,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10252,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,900.0,6361.0,90,3,6,9,1,Other,2.8,Newly repaired,05.10.2015,17.11.2020,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Tile,Eurowindows,Elevator,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10249,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,700.0,5230.0,65,3,2,10,1,Other,2.8,Good,05.10.2015,07.11.2019,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Hotwater,Gas,Heating","Tile,Eurowindows,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Vardanants+St/Center/Yerevan/10246,0,,0,,for rent,apartment,myrealty.am,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,800.0,4612.0,90,3,4,4,1,Stone,2.8,Newly repaired,05.10.2015,28.06.2019,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10244,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,1000.0,5554.0,95,3,3,5,2,Other,2.8,Newly repaired,05.10.2015,09.08.2020,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","Sunny,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10243,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,2500.0,7138.0,103,3,2,5,1,Stone,2.8,Newly repaired,05.10.2015,08.07.2019,08.05.2022,40.183731,44.5111862,"36, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Water,water24/7,Electricity,Hotwater,Gas,Heating","View,Sunny,Laminateflooring,Tile,Openbalcony,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/10241,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Center, Vardanants St",Yerevan, Center, Vardanants St,750.0,6320.0,100,4,3,9,1,Panel,2.6,Good,03.10.2015,15.08.2018,08.05.2022,40.1739979,44.5213035,"ԳՈԼԴ ԹՐԱՎԵԼ, 15/3, Վարդանանց փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Water,water24/7,Electricity,Air-conditioner,Internet,Hotwater,Gas,Heating","Elevator,Furniture",https://myrealty.am/en/4-bedroom/apartment-for-rent/Vardanants+St/Center/Yerevan/10233,0,,0,,for rent,apartment,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
