Location,Region,District,Street,Price,Views,Area,Rooms,Floor,Storeys,Bathrooms,Building_type,Ceiling_height,Condition,Date_added,Date_edited,Date_scraped,Latitude,Longitude,Address,Facilities,Additional_info,url,On_request,Price_sqm,Error,Floors,Listing_type,Property_type,Platform_name,Airconditioner,Canalization,Centralheating,Electricity,Gas,Heating,Hotwater,Internet,Irrigation,Sewerage,Water,Water24_7,Attic,Balcony,Basement,Bilateral,Buildingexistence,Closetothebusstation,Elevator,Equipment,Eurowindows,Fence,Fireplace,Furniture,Garage,Gate,Grating,Gym,Heatedfloor,Heater,Highfirstfloor,Irondoor,Laminateflooring,Loggia,Openbalcony,Park,Parking,Parquet,Playground,Roadside,Sauna,Securitysystem,Storageroom,Sunny,Swimmingpool,Tile,Has_view
"Yerevan, Arabkir, Orbeli Yeghbayrner St",Yerevan, Arabkir, Orbeli Yeghbayrner St,400.0,2382.0,60,3,3,5,1,Stone,3.0,Good,09.09.2019,13.01.2020,08.05.2022,40.1929736,44.4923401,"33, Օրբելի եղբայրների փողոց, Արաբկիր, Երևան, 0028, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Tile,Parquet,Sunny,View,Roadside,Closetothebusstation",https://myrealty.am/en/3-bedroom/apartment-for-rent/Orbeli+Yeghbayrner+++St/Arabkir/Yerevan/84085,0,,0,,for rent,apartment,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1
"Yerevan, Center, Mashtots Ave",Yerevan, Center, Mashtots Ave,500.0,2995.0,65,2,12,12,1,Panel,2.8,Newly repaired,09.09.2019,22.10.2021,08.05.2022,40.1842607,44.5120069,"38, Մեսրոպ Մաշտոցի պողոտա, Երևան, 0002, Հայաստան","Heating,Hotwater,Electricity,Gas,water24/7","Furniture,Equipment,Eurowindows,Tile,Laminateflooring,Sunny,View,Closetothebusstation,Parking,Playground,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-rent/Mashtots+Ave/Center/Yerevan/84068,0,,0,,for rent,apartment,bars.am,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, Hovsep Emin St",Yerevan, Arabkir, Hovsep Emin St,400.0,2976.0,75,3,3,9,1,Panel,2.8,Good,07.09.2019,14.12.2019,08.05.2022,40.2071944,44.4980317,"73, Հովսեփ Էմինի փողոց, Արաբկիր, Երևան, 0012, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,water24/7","Furniture,Equipment,Eurowindows,Tile,Laminateflooring,Sunny,View,Roadside",https://myrealty.am/en/3-bedroom/apartment-for-rent/Hovsep+Emin+St/Arabkir/Yerevan/84035,0,,0,,for rent,apartment,bars.am,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1
"Yerevan, Arabkir, Adonts St",Yerevan, Arabkir, Adonts St,600.0,3495.0,90,3,7,8,1,Monolit,2.8,Newly repaired,07.09.2019,14.12.2019,08.05.2022,40.2098294,44.5285311,"3, Նիկողայոս Ադոնցի փողոց, Արաբկիր, Երևան, 0014, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Sunny,View,Closetothebusstation,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Adonts+St/Arabkir/Yerevan/84029,0,,0,,for rent,apartment,myrealty.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Arabkir, Gyulbenkyan St",Yerevan, Arabkir, Gyulbenkyan St,550.0,3071.0,55,2,3,11,1,Other,2.8,Newly repaired,07.09.2019,24.03.2020,08.05.2022,40.1939826,44.4998313,"1, Գյուլբենկյան փողոց, Արաբկիր, Երևան, 0019, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Tile,Sunny,View,Closetothebusstation,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-rent-in-new-construction/Gyulbenkyan+St/Arabkir/Yerevan/84012,0,,0,,for rent,apartment,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
"Yerevan, Center, Lalayants st",Yerevan, Center, Lalayants st,700.0,2604.0,48,2,5,11,1,Panel,2.8,Newly repaired,06.09.2019,24.03.2020,08.05.2022,40.1872023,44.515209,"Ժյուլ Բաստիեն Լըպաժ, Մեսրոպ Մաշտոցի պողոտա, Կենտրոն, Երևան, 0009, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Irondoor,Openbalcony,Tile,Laminateflooring,Sunny,Parking,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-rent/Lalayants+st/Center/Yerevan/83934,0,,0,,for rent,apartment,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
"Yerevan, Arabkir, Gyulbenkyan St",Yerevan, Arabkir, Gyulbenkyan St,600.0,2817.0,78,3,7,9,1,Monolit,2.8,Good,06.09.2019,14.12.2019,08.05.2022,40.2043987,44.4927728,"43, Գյուլբենկյան փողոց, Արաբկիր, Երևան, 0033, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Laminateflooring,Sunny,View,Roadside,Closetothebusstation,Park,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Gyulbenkyan+St/Arabkir/Yerevan/83913,0,,0,,for rent,apartment,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1
"Yerevan, Center, M.Khorenatsi St",Yerevan, Center, M.Khorenatsi St,330.0,3487.0,32,1,3,3,1,Panel,2.8,Newly repaired,06.09.2019,16.12.2019,08.05.2022,40.1748254,44.5095052,"20, Խորենացու փողոց, Կենտրոն, Երևան, 0010, Հայաստան","Heating,Gas,Hotwater,Internet,Air-conditioner,Electricity,water24/7,Water","Furniture,Equipment",https://myrealty.am/en/1-bedroom/apartment-for-rent/M.Khorenatsi+St/Center/Yerevan/83894,0,,0,,for rent,apartment,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yerevan, Center, Aram St",Yerevan, Center, Aram St,1300.0,3274.0,120,3,6,17,1,Monolit,3.0,Good,05.09.2019,24.03.2020,08.05.2022,40.1835852,44.5079517,"Դարգեթ գարեջրատուն, 72, Արամի փողոց, Կենտրոն, Երևան, 0002, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Laminateflooring,Sunny,View,Roadside,Closetothebusstation,Park",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Aram+St/Center/Yerevan/83862,0,,0,,for rent,apartment,myrealty.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1
"Yerevan, Arabkir, Kievyan St",Yerevan, Arabkir, Kievyan St,1000.0,3131.0,100,3,4,16,1,Monolit,3.2,Newly repaired,05.09.2019,23.06.2020,08.05.2022,40.1938995,44.4858052,"3, Կիևյան փողոց, Արաբկիր, Երևան, 0028, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Laminateflooring,Parquet,Sunny,View,Bilateral,Roadside,Closetothebusstation,Parking,Elevator",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Kievyan+St/Arabkir/Yerevan/83848,0,,0,,for rent,apartment,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,1
"Yerevan, Center, Nar Dos 1 alley",Yerevan, Center, Nar Dos 1 alley,1000.0,2975.0,100,3,3,10,1,Monolit,3.0,Newly repaired,05.09.2019,13.04.2021,08.05.2022,40.165156,44.5134661,"4/3, Նար–Դոսի 1-ին Նրբանցք, Կենտրոն, Երևան, 0018, Հայաստան","Heating,Gas,Hotwater,Electricity,water24/7,Water","Furniture,Equipment,Eurowindows,Tile,Laminateflooring,Sunny,View,Closetothebusstation,Playground,Parking",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Nar+Dos+1+alley/Center/Yerevan/83841,0,,0,,for rent,apartment,myrealty.am,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1
"Yerevan, Center, Northern (Hyusisayin) Ave",Yerevan, Center, Northern (Hyusisayin) Ave,2500.0,3241.0,120,3,7,9,2,Monolit,3.0,Newly repaired,04.09.2019,16.04.2021,08.05.2022,40.1830497,44.51518,"3, Հյուսիսային պողոտա, Երևան, 010, Հայաստան","Sewerage,Canalization,Water,water24/7,Electricity,Air-conditioner,Internet,Hotwater,Heating","Closetothebusstation,Sunny,Laminateflooring,Tile,Eurowindows,Elevator,Equipment,Furniture",https://myrealty.am/en/3-bedroom/apartment-for-rent-in-new-construction/Northern+%28Hyusisayin%29++Ave/Center/Yerevan/83757,0,,0,,for rent,apartment,bars.am,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"Yerevan, Center, G.Lusavorich St",Yerevan, Center, G.Lusavorich St,390.0,3204.0,35,1,5,5,1,Stone,3.0,Good,03.09.2019,13.01.2020,08.05.2022,40.173836,44.5056978,"Ամերիա, 9, Գրիգոր Լուսավորչի փողոց, Կենտրոն, Երևան, 0015, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Laminateflooring,Sunny,View,Roadside,Closetothebusstation,Park",https://myrealty.am/en/1-bedroom/apartment-for-rent/G.Lusavorich+St/Center/Yerevan/83750,0,,0,,for rent,apartment,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,1
"Yerevan, Center, Antarayin St",Yerevan, Center, Antarayin St,550.0,2867.0,85,2,2,4,1,Monolit,3.0,Newly repaired,03.09.2019,14.12.2019,08.05.2022,40.1953421,44.5089415,"Cascade Hills, 160/5, Անտառային փողոց, Կենտրոն, Երևան, 0019, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Centralheating,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Tile,Securitysystem,Sunny,View,Closetothebusstation,Parking",https://myrealty.am/en/2-bedroom/apartment-for-rent-in-new-construction/Antarayin+St/Center/Yerevan/83727,0,,0,,for rent,apartment,bars.am,1,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1
"Yerevan, Center, Heratsi St",Yerevan, Center, Heratsi St,450.0,3335.0,60,2,2,5,1,Monolit,3.0,Newly repaired,03.09.2019,14.12.2019,08.05.2022,40.1917459,44.5304932,"1/4, Մյասնիկյանի պողոտա, Երևան, 0011, Հայաստան","Heating,Internet,Hotwater,Electricity,Air-conditioner,Gas,Water,water24/7","Furniture,Equipment,Eurowindows,Openbalcony,Balcony,Tile,Laminateflooring,Parquet,Sunny,Roadside,Elevator",https://myrealty.am/en/2-bedroom/apartment-for-rent-in-new-construction/Heratsi+St/Center/Yerevan/83714,0,,0,,for rent,apartment,bars.am,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
